entity_type,provider_credentials,state,postal_code,deactivation_date,activation_date,gender,name_prefix,is_sole_proprietor,county_id,id,name
1,,FL,33613,,,F,,Y,12057,12,Florida
1,MD,FL,32931,,,F,DR.,N,12009,12,Florida
1,"LMHC, CAP, NCGC-II",FL,34689,,,F,,Y,12101,12,Florida
1,O.D.,FL,32401,,,F,DR.,Y,12005,12,Florida
2,,FL,34606,,,,,,12101,12,Florida
2,,FL,32177,,,,,,County not found.,12,Florida
1,PHARMD,FL,33811,,,F,,N,12105,12,Florida
1,MD,FL,34695,,,M,,Y,12103,12,Florida
1,LMHC,FL,33312,,,F,,N,12011,12,Florida
1,M.D.,FL,33040,,,M,,Y,12087,12,Florida
2,,FL,33056,,,,,,12086,12,Florida
1,,FL,34119,,,M,,N,County not found.,12,Florida
1,ARNP,FL,34953,,,F,,Y,12111,12,Florida
1,PHYSICAL THERAPIST,FL,32714,,,M,,N,12117,12,Florida
1,D.O.,FL,32901,,,M,DR.,N,12009,12,Florida
2,,FL,32701,,,,,,12117,12,Florida
1,O.D.,FL,32922,,,M,,N,12009,12,Florida
1,,FL,33830,,,M,,N,12105,12,Florida
1,,FL,34103,,,M,DR.,N,County not found.,12,Florida
2,,FL,32132,,,,,,County not found.,12,Florida
2,,FL,33173,,,,,,12086,12,Florida
2,,FL,32301,,,,,,12129,12,Florida
1,DMD,FL,34231,,,M,DR.,N,12081,12,Florida
1,PT,FL,32223,,,M,MR.,Y,12109,12,Florida
1,CRNA,FL,32501,,,F,,N,12033,12,Florida
2,,FL,32904,,,,,,12097,12,Florida
2,,FL,33467,,,,,,12099,12,Florida
1,MD,FL,32905,,,M,,Y,12009,12,Florida
1,D.C.,FL,34102,,,M,,N,County not found.,12,Florida
1,M.D.,FL,32224,,,M,DR.,N,12031,12,Florida
1,MD,FL,34285,,,M,DR.,Y,12115,12,Florida
2,,FL,34613,,,,,,12053,12,Florida
1,ARNP,FL,32806,,,F,MRS.,Y,12095,12,Florida
1,OD,FL,33016,,,F,DR.,Y,12086,12,Florida
1,MD,FL,34119,,,M,DR.,Y,County not found.,12,Florida
1,DPM,FL,33140,,,F,DR.,Y,12086,12,Florida
1,AP,FL,33133,,,M,MR.,X,12086,12,Florida
1,M.D.,FL,33133,,,M,,N,12086,12,Florida
1,,FL,32818,,,F,,Y,12095,12,Florida
1,MD,FL,32207,,,M,DR.,N,12127,12,Florida
1,MPT,FL,34233,01/08/2009,09/29/2009,F,MS.,N,12115,12,Florida
2,,FL,33176,,,,,,12086,12,Florida
1,,FL,32940,,,F,,Y,12009,12,Florida
1,DMD,FL,34201,,,M,DR.,N,County not found.,12,Florida
1,M.S.W,FL,34698,,,F,,Y,12103,12,Florida
1,D.C.,FL,33407,,,F,DR.,Y,12099,12,Florida
1,CRNA,FL,32803,,,F,,N,12095,12,Florida
2,,FL,34102,,,,,,County not found.,12,Florida
1,,FL,34997,,,F,,Y,12085,12,Florida
2,,FL,32819,,,,,,12095,12,Florida
1,"R.D., LDN",FL,33904,,,F,MRS.,Y,12071,12,Florida
1,M.D.,FL,32428,,,M,DR.,Y,12133,12,Florida
2,,FL,32073,,,,,,12031,12,Florida
1,M.D.,FL,34210,,,M,,Y,12081,12,Florida
1,"L.AC, DIPL. O.M.",FL,32931,,,F,,Y,12009,12,Florida
2,,FL,33486,,,,,,12099,12,Florida
1,D.M.D.,FL,32003,,,M,DR.,N,County not found.,12,Florida
1,,FL,33064,,,F,MRS.,Y,12011,12,Florida
2,,FL,33624,,,,,,12057,12,Florida
1,,FL,33134,,,F,,N,12086,12,Florida
1,,FL,33534,,,F,MS.,Y,12057,12,Florida
1,D.C.,FL,32129,,,F,DR.,N,County not found.,12,Florida
2,,FL,34761,,,,,,County not found.,12,Florida
1,,FL,34471,,,M,,N,County not found.,12,Florida
1,CRNA,FL,33414,,,M,,N,12099,12,Florida
1,PA-C,FL,33626,,,M,,N,12057,12,Florida
1,ARNP,FL,32456,,,M,MR.,N,12045,12,Florida
1,LMHC,FL,33950,,,F,,N,12099,12,Florida
1,D.O.,FL,34741,,,F,,N,County not found.,12,Florida
2,,FL,32907,,,,,,12009,12,Florida
1,LMT,FL,33907,,,M,,Y,12071,12,Florida
2,,FL,33411,,,,,,12099,12,Florida
2,,FL,33428,,,,,,12099,12,Florida
1,MD,FL,34474,,,F,,N,County not found.,12,Florida
2,,FL,33010,,,,,,12086,12,Florida
1,ARNP,FL,33021,,,M,,N,12011,12,Florida
1,M.D.,FL,32308,,,F,DR.,N,12065,12,Florida
