Code,Classification
101Y00000X,Counselor
101YA0400X,Counselor
101YM0800X,Counselor
101YP1600X,Counselor
101YP2500X,Counselor
101YS0200X,Counselor
102L00000X,Psychoanalyst
102X00000X,Poetry Therapist
103G00000X,Clinical Neuropsychologist
103GC0700X,Clinical Neuropsychologist
103K00000X,Behavioral Analyst
103T00000X,Psychologist
103TA0400X,Psychologist
103TA0700X,Psychologist
103TB0200X,Psychologist
103TC0700X,Psychologist
103TC1900X,Psychologist
103TC2200X,Psychologist
103TE1000X,Psychologist
103TE1100X,Psychologist
103TF0000X,Psychologist
103TF0200X,Psychologist
103TH0004X,Psychologist
103TH0100X,Psychologist
103TM1700X,Psychologist
103TM1800X,Psychologist
103TP0016X,Psychologist
103TP0814X,Psychologist
103TP2700X,Psychologist
103TP2701X,Psychologist
103TR0400X,Psychologist
103TS0200X,Psychologist
103TW0100X,Psychologist
104100000X,Social Worker
1041C0700X,Social Worker
1041S0200X,Social Worker
106H00000X,Marriage & Family Therapist
111N00000X,Chiropractor
111NI0013X,Chiropractor
111NI0900X,Chiropractor
111NN0400X,Chiropractor
111NN1001X,Chiropractor
111NP0017X,Chiropractor
111NR0200X,Chiropractor
111NR0400X,Chiropractor
111NS0005X,Chiropractor
111NT0100X,Chiropractor
111NX0100X,Chiropractor
111NX0800X,Chiropractor
122300000X,Dentist
1223D0001X,Dentist
1223D0004X,Dentist
1223E0200X,Dentist
1223G0001X,Dentist
1223P0106X,Dentist
1223P0221X,Dentist
1223P0300X,Dentist
1223P0700X,Dentist
1223S0112X,Dentist
1223X0008X,Dentist
1223X0400X,Dentist
122400000X,Denturist
124Q00000X,Dental Hygienist
125J00000X,Dental Therapist
125K00000X,Advanced Practice Dental Therapist
125Q00000X,Oral Medicinist
126800000X,Dental Assistant
126900000X,Dental Laboratory Technician
132700000X,Dietary Manager
133N00000X,Nutritionist
133NN1002X,Nutritionist
133V00000X,"Dietitian, Registered"
133VN1004X,"Dietitian, Registered"
133VN1005X,"Dietitian, Registered"
133VN1006X,"Dietitian, Registered"
136A00000X,"Dietetic Technician, Registered"
146D00000X,Personal Emergency Response Attendant
146L00000X,"Emergency Medical Technician, Paramedic"
146M00000X,"Emergency Medical Technician, Intermediate"
146N00000X,"Emergency Medical Technician, Basic"
152W00000X,Optometrist
152WC0802X,Optometrist
152WL0500X,Optometrist
152WP0200X,Optometrist
152WS0006X,Optometrist
152WV0400X,Optometrist
152WX0102X,Optometrist
156F00000X,Technician/Technologist
156FC0800X,Technician/Technologist
156FC0801X,Technician/Technologist
156FX1100X,Technician/Technologist
156FX1101X,Technician/Technologist
156FX1201X,Technician/Technologist
156FX1202X,Technician/Technologist
156FX1700X,Technician/Technologist
156FX1800X,Technician/Technologist
156FX1900X,Technician/Technologist
163W00000X,Registered Nurse
163WA0400X,Registered Nurse
163WA2000X,Registered Nurse
163WC0200X,Registered Nurse
163WC0400X,Registered Nurse
163WC1400X,Registered Nurse
163WC1500X,Registered Nurse
163WC1600X,Registered Nurse
163WC2100X,Registered Nurse
163WC3500X,Registered Nurse
163WD0400X,Registered Nurse
163WD1100X,Registered Nurse
163WE0003X,Registered Nurse
163WE0900X,Registered Nurse
163WF0300X,Registered Nurse
163WG0000X,Registered Nurse
163WG0100X,Registered Nurse
163WG0600X,Registered Nurse
163WH0200X,Registered Nurse
163WH0500X,Registered Nurse
163WH1000X,Registered Nurse
163WI0500X,Registered Nurse
163WI0600X,Registered Nurse
163WL0100X,Registered Nurse
163WM0102X,Registered Nurse
163WM0705X,Registered Nurse
163WM1400X,Registered Nurse
163WN0002X,Registered Nurse
163WN0003X,Registered Nurse
163WN0300X,Registered Nurse
163WN0800X,Registered Nurse
163WN1003X,Registered Nurse
163WP0000X,Registered Nurse
163WP0200X,Registered Nurse
163WP0218X,Registered Nurse
163WP0807X,Registered Nurse
163WP0808X,Registered Nurse
163WP0809X,Registered Nurse
163WP1700X,Registered Nurse
163WP2201X,Registered Nurse
163WR0006X,Registered Nurse
163WR0400X,Registered Nurse
163WR1000X,Registered Nurse
163WS0121X,Registered Nurse
163WS0200X,Registered Nurse
163WU0100X,Registered Nurse
163WW0000X,Registered Nurse
163WW0101X,Registered Nurse
163WX0002X,Registered Nurse
163WX0003X,Registered Nurse
163WX0106X,Registered Nurse
163WX0200X,Registered Nurse
163WX0601X,Registered Nurse
163WX0800X,Registered Nurse
163WX1100X,Registered Nurse
163WX1500X,Registered Nurse
164W00000X,Licensed Practical Nurse
164X00000X,Licensed Vocational Nurse
167G00000X,Licensed Psychiatric Technician
170100000X,"Medical Genetics, Ph.D. Medical Genetics"
170300000X,"Genetic Counselor, MS"
171000000X,Military Health Care Provider
1710I1002X,Military Health Care Provider
1710I1003X,Military Health Care Provider
171100000X,Acupuncturist
171M00000X,Case Manager/Care Coordinator
171R00000X,Interpreter
171W00000X,Contractor
171WH0202X,Contractor
171WV0202X,Contractor
172A00000X,Driver
172M00000X,Mechanotherapist
172P00000X,Naprapath
172V00000X,Community Health Worker
173000000X,Legal Medicine
173C00000X,Reflexologist
173F00000X,"Sleep Specialist, PhD"
174200000X,Meals
174400000X,Specialist
1744G0900X,Specialist
1744P3200X,Specialist
1744R1102X,Specialist
1744R1103X,Specialist
174H00000X,Health Educator
174M00000X,Veterinarian
174MM1900X,Veterinarian
174N00000X,"Lactation Consultant, Non-RN"
174V00000X,Clinical Ethicist
175F00000X,Naturopath
175L00000X,Homeopath
175M00000X,"Midwife, Lay"
175T00000X,Peer Specialist
176B00000X,Midwife
176P00000X,Funeral Director
177F00000X,Lodging
183500000X,Pharmacist
1835G0000X,Pharmacist
1835G0303X,Pharmacist
1835N0905X,Pharmacist
1835N1003X,Pharmacist
1835P0018X,Pharmacist
1835P1200X,Pharmacist
1835P1300X,Pharmacist
1835P2201X,Pharmacist
1835X0200X,Pharmacist
183700000X,Pharmacy Technician
193200000X,Multi-Specialty
193400000X,Single Specialty
202C00000X,Independent Medical Examiner
202K00000X,Phlebology
204C00000X,"Neuromusculoskeletal Medicine, Sports Medicine"
204D00000X,Neuromusculoskeletal Medicine & OMM
204E00000X,Oral & Maxillofacial Surgery
204F00000X,Transplant Surgery
204R00000X,Electrodiagnostic Medicine
207K00000X,Allergy & Immunology
207KA0200X,Allergy & Immunology
207KI0005X,Allergy & Immunology
207L00000X,Anesthesiology
207LA0401X,Anesthesiology
207LC0200X,Anesthesiology
207LH0002X,Anesthesiology
207LP2900X,Anesthesiology
207LP3000X,Anesthesiology
207N00000X,Dermatology
207ND0101X,Dermatology
207ND0900X,Dermatology
207NI0002X,Dermatology
207NP0225X,Dermatology
207NS0135X,Dermatology
207P00000X,Emergency Medicine
207PE0004X,Emergency Medicine
207PE0005X,Emergency Medicine
207PH0002X,Emergency Medicine
207PP0204X,Emergency Medicine
207PS0010X,Emergency Medicine
207PT0002X,Emergency Medicine
207Q00000X,Family Medicine
207QA0000X,Family Medicine
207QA0401X,Family Medicine
207QA0505X,Family Medicine
207QB0002X,Family Medicine
207QG0300X,Family Medicine
207QH0002X,Family Medicine
207QS0010X,Family Medicine
207QS1201X,Family Medicine
207R00000X,Internal Medicine
207RA0000X,Internal Medicine
207RA0001X,Internal Medicine
207RA0201X,Internal Medicine
207RA0401X,Internal Medicine
207RB0002X,Internal Medicine
207RC0000X,Internal Medicine
207RC0001X,Internal Medicine
207RC0200X,Internal Medicine
207RE0101X,Internal Medicine
207RG0100X,Internal Medicine
207RG0300X,Internal Medicine
207RH0000X,Internal Medicine
207RH0002X,Internal Medicine
207RH0003X,Internal Medicine
